player1,player2,pair_elo,matches_together
Frazier D.,Johnson J.,6.7854980953182675,141
Johns B.,Johns C.,6.648970564279554,134
Staksrud F.,Tellez P.,6.4988852532513315,126
Newman R.,Wright M.,6.547864870711709,49
Ignatowich J.,McGuffin T.,6.428259782506307,46
Bar D.,McGuffin T.,6.328609072971459,35
Arnold J.,Wilson T.,6.386459166352764,34
Dawson C.,Patriquin H.,6.32469261595618,34
Devilliers J.,Young D.,6.032871424100238,34
Daescu A.,Tardio G.,6.425304740517722,33
Alshon C.,Hewett R.,6.225931390193438,31
Dow G.,Scarpa A.,5.977737656575456,29
De La Rosa D.,Emmrich M.,6.200977876247572,29
Dawson C.,Loong T.,6.167741220472476,28
Fought T.,Smith S.,5.890217292425241,28
Devilliers J.,Smith P.,6.2927034397462895,26
Johnson C.,Teoni P.,6.075489883853002,24
Ignatowich J.,Wright M.,6.23055553638222,24
De La Rosa D.,Newell B.,5.979583081827563,23
Shick C.,Sock J.,6.1681199723186735,22
Bar D.,Dawson C.,6.155073860960194,22
Garnett C.,Loong T.,6.343202840535189,21
McGuffin T.,Vich J.,6.1109095671739615,21
Tamaki K.,Vich J.,6.050736906301973,19
Newman R.,Wilson T.,6.300780914942499,19
Johnson H.,Johnson Y.,6.147654781011989,18
Bar D.,Koller A.,6.073081762695902,17
Alshon C.,Garnett C.,6.387779272371509,17
Koller A.,Lange E.,6.144517850833546,17
Hewett R.,Navratil Z.,6.117206147550005,16
Patriquin H.,Tellez P.,6.3651708621973295,16
Navratil Z.,Young D.,6.171495201375806,15
Alhouni M.,Alhouni M.,5.875450884793843,15
Garnett C.,Tardio G.,6.266843375392734,15
Smith S.,Taylor C.,6.12394345374971,14
Deakin S.,Jakovljevic I.,6.0654622653424575,14
Staksrud F.,Wright M.,6.201606928014875,13
Fought T.,Stone W.,6.0504257152928895,13
Klinger C.,Vich J.,6.262301228367984,13
Arnold J.,Munro J.,6.35569747233028,13
Burrows W.,Querrey S.,5.970861668357476,13
Daescu A.,Devilliers J.,6.256859477224319,13
Cassidy R.,Nemoff C.,6.053267301831467,13
Johnson C.,Koszuta K.,5.853804596331377,13
Kawka P.,Teoni P.,6.014219973495084,12
French B.,Jakovljevic I.,5.991326339453028,12
Loong T.,Young D.,6.3024166892944775,12
Ge A.,Johnson C.,6.295534198541493,12
Alshon C.,Navratil Z.,6.260309266277235,11
Long B.,McGuffin T.,6.301691290691216,11
Ignatowich J.,Loong T.,6.21832432616377,11
Deakin S.,Rettenmaier T.,6.108775009557913,11
Alshon C.,Smith S.,6.0110352046252675,11
Stone W.,Vich J.,6.208436950389093,11
Koller A.,Newman R.,6.2138221409401275,11
Navratil Z.,Rettenmaier T.,6.2458347781899395,11
Patriquin H.,Staksrud F.,6.6605587379633855,10
Finley R.,Kawka P.,6.0101312379928995,10
Brown M.,Lane B.,6.044483849415098,10
Barrientos M.,Whitehead G.,5.983218310718776,10
Alshon C.,Newman R.,6.33669302010758,10
Hong T.,Lee S.,5.98541529616741,10
Ali R.,Vich J.,6.05448813263199,10
Bellamy R.,Koller A.,6.229659190207507,9
Koller A.,Rettenmaier T.,6.139254007090606,9
Fought T.,Loong T.,6.079873369204607,9
Diamond C.,Roddy E.,6.074461633973653,9
Smith P.,Stone W.,6.056065553207216,9
Bar D.,Young D.,6.230883823279259,9
Jenkins J.,Kacergis B.,6.053247697214643,8
Patriquin H.,Smith S.,6.135231111860355,8
Andrews J.,Read A.,5.9696431813665125,8
Merchant A.,Weinbach D.,5.951461295009917,8
Deakin S.,Shick C.,6.09516845820839,8
Koller A.,Loong T.,6.126474669129906,8
Bar D.,Johns C.,6.164157413099192,8
Arnold J.,Koller A.,6.1702473126779305,8
Arnold J.,Rettenmaier T.,6.053532576582918,8
Cincola J.,Long B.,5.995362006086029,8
Alshon C.,Wilson T.,6.377997585410587,8
Koszuta K.,Loyd M.,5.907494966331059,8
Hovenier B.,Joseph G.,6.11601391385699,8
Hewett R.,Tardio G.,5.9882088952218755,7
Amiri F.,Shearer D.,6.023292620484345,7
Andrews J.,Wasson L.,6.006882916078281,7
Hewett R.,Howells W.,6.242829162151274,7
Heddings K.,Teoni P.,6.011231430257615,7
Eveloff R.,Hovenier B.,5.926722564263163,7
Goldberg J.,Locklear P.,5.839850591942354,7
Arnold J.,Young D.,6.069590022305973,7
Galli S.,Read A.,5.964151623647017,7
Kawka P.,Loyd M.,6.245804953764869,7
Beasley N.,Dayan K.,6.154680843068635,7
Alshon C.,Arnold J.,6.22571469767679,7
Lohani A.,Neumann A.,5.9472696718869935,7
Garnett C.,Smith P.,5.962026988086722,7
Cassidy R.,Sherry R.,5.964730386203291,7
Bar D.,Wilson T.,6.225345528384624,7
Cincola J.,Stone W.,6.014992758650334,7
Rettenmaier T.,Tchikatilov A.,6.161861237011025,7
Smith P.,Young D.,6.264530073285395,7
Alshon C.,Loong T.,6.111097332605285,7
Bellamy R.,Rettenmaier T.,6.118816431228901,6
French B.,Taylor C.,6.0011453823486995,6
Fought T.,Pailet E.,6.06824642585329,6
Doerner S.,Link G.,6.035462605469285,6
Bellamy R.,Johnson Y.,6.024526132618012,6
Terron A.,Young D.,6.097604567265962,6
Auvergne S.,Ignatowich J.,6.122677232978948,6
Hewett R.,Kawka P.,6.092215696652644,6
Ge A.,Rettenmaier T.,6.081097220998919,6
Garnett C.,Hewett R.,6.086040815992006,6
Blaszkewycz E.,Teoni P.,6.07743270830763,6
Lange E.,Young D.,6.141501232688385,6
Gridley A.,Merchant A.,6.221655199150221,6
Neumann A.,Whatnall K.,5.8509270267161355,6
Beasley N.,Eveloff R.,5.971989351221244,6
Blaszkewycz E.,Bond G.,6.002712096353348,6
Lohani A.,Tamanaha W.,6.086891505680416,6
Arnold J.,Newman R.,6.184479498621382,6
Irizarry E.,Kusmider J.,5.958895926877703,6
Carlisle C.,Thompsen T.,6.0566801866292215,6
Auvergne S.,De La Rosa D.,6.197321522507553,6
Feliz A.,Stith M.,5.9502812360250665,6
Donkena A.,Peterson L.,6.01797477813149,6
Navratil Z.,Wilson T.,5.998757569717778,6
Baca M.,Shearer D.,5.854331085809321,6
Hewett R.,Newman R.,6.284538665844834,5
French B.,Trinh T.,5.977450725568943,5
Ge A.,Vich J.,6.350611050150135,5
Garnett C.,Ge A.,6.309406027449534,5
Burrows W.,Lange E.,6.0747013667932395,5
Forsythe E.,Goldberg J.,5.994860085505346,5
Garnett C.,Patriquin H.,5.909541516237327,5
French B.,Stone W.,6.1850704521793425,5
Loyd J.,Loyd M.,6.0066579280433645,5
Ge A.,Koller A.,6.123968159988304,5
Johnson H.,Wilson T.,6.075601082648211,5
Daescu A.,Wright M.,6.4366026377282735,5
Cassidy R.,Long B.,6.09350769691684,5
Farias J.,Siljestrom A.,6.074674113883763,5
Tardio G.,Whitehead G.,6.1874924469530495,5
Johns C.,Wright M.,6.191471093709633,5
Cincola J.,Loyd M.,6.106301385552239,5
Locklear P.,Newell B.,6.194995806337239,5
Fu R.,Tomassi T.,5.903658994534244,5
Barrientos M.,Taylor C.,6.041042668227753,5
Hovenier B.,Young D.,6.139411848585913,5
Kojima B.,Tamanaha W.,6.088605690079261,5
Ignatowich J.,Newman R.,6.229919106661674,5
Elliott J.,Munro J.,5.885515092139445,5
Garnett C.,Young D.,6.202695624307447,5
Newell B.,Stone W.,5.986153567159148,5
Bar D.,Wright M.,6.38895447113647,5
Gilbert E.,Gilbert R.,5.898274189405429,5
Hall D.,Larson B.,5.849062909168662,5
Newman R.,Tardio G.,6.34821871931982,5
Lange E.,Navratil Z.,6.318210917941126,5
Pailet E.,Warnick J.,5.940948232925134,5
Ayotte J.,Newcombe R.,5.933131843925018,5
Powell C.,Schenk A.,5.99202373939303,5
Garnett C.,Wright M.,6.227449832788088,5
Devilliers J.,Tardio G.,6.2129831103888975,5
Garnett C.,Teoni P.,6.16211575110222,5
Frazier D.,Wright M.,6.200413002861281,5
Barlow M.,Bond G.,5.8386235430327975,5
Ignatowich J.,Navratil Z.,6.0106078338914095,5
Devilliers J.,Loong T.,6.131822544794613,5
Loyd M.,Montoya N.,5.885734618126607,5
Devilliers J.,Wright M.,6.155490445927608,5
Baylon B.,Baylon R.,6.03842716425669,5
Bar D.,Navratil Z.,6.362134158342258,5
Johns B.,Wright M.,6.413497128005916,5
Fought T.,Loyd M.,6.325004881433703,5
Daescu A.,Ignatowich J.,6.298707730957051,5
Jacobson E.,Stratton R.,6.030819905365112,5
Ge A.,Staksrud F.,6.346597952175464,5
Devilliers J.,Tellez P.,6.3115038122286435,5
Bock J.,Rosner E.,6.135565311883058,5
Alshon C.,Duong Q.,6.413147068625474,5
Emmrich M.,Sobek W.,6.046524062352693,5
Klinger C.,Tchikatilov A.,6.135257911732471,5
Ignatowich J.,Johns C.,6.0825330644413595,5
Khlif N.,Shick C.,6.17238373609992,5
Rettenmaier T.,Wright M.,6.207330819061442,5
Arnold J.,Nunnery R.,6.0971310561397685,5
Huo J.,Locklear P.,6.000922031689035,5
Loyd M.,Teoni P.,6.014979930290154,5
Bar D.,Tardio G.,6.190529910385446,5
Ayotte J.,Jensen D.,5.929484915790947,5
Beasley N.,Markowitz E.,5.899805639092456,5
Devilliers J.,Lange E.,6.122732026629807,4
Estareja R.,Mcmakin K.,5.907091689483592,4
Goldberg J.,Venkatesan M.,5.933331453742317,4
Dawson C.,Stone W.,6.005754696444925,4
Anderson M.,Cassidy R.,5.995599271534724,4
Lohani A.,Roddy E.,6.01228024184278,4
Doerner S.,Rettenmaier T.,6.020489176078929,4
Fought T.,Wren T.,6.1177851028604575,4
Patriquin H.,Smith P.,6.0190667286668615,4
Fratt C.,Garcia E.,5.831432421520238,4
Duong B.,Duong Q.,5.9031171743830875,4
Deakin S.,Locklear P.,5.982902079161057,4
Perez E.,Wasson L.,5.9380762482248555,4
Andrews J.,Perez E.,6.048368470302584,4
Morrow T.,Shekar K.,6.065366197613034,4
Slutsky R.,Trinh T.,6.012329887422205,4
Gustad A.,Harvey A.,5.970168241475383,4
Lewis K.,Markowitz E.,5.827882516570843,4
Roditi D.,Sherry R.,5.906884338529906,4
Diamond C.,Freeman M.,6.283286237847315,4
Delgado J.,Perez E.,5.92767203342925,4
Arnold J.,Loong T.,6.154311611012205,4
Smith P.,Tardio G.,6.005775958035502,4
Boydston C.,Larson B.,5.906353596583396,4
Lohani A.,Nemoff C.,6.069062245222575,4
Forster M.,Foster J.,5.954697207735959,4
Dobran J.,Roddy E.,6.0474470975436185,4
Hutchins R.,Mcauley D.,5.980639751221411,4
Hewett R.,Johnson H.,6.172346985402487,4
Dawson C.,Tamaki K.,6.045970801205212,4
Brown M.,Farias J.,6.069390086188415,4
Vanderwarf N.,Williams C.,6.027992741734717,4
Locklear P.,Smith S.,6.002672845969248,4
Krishnaswamy S.,Read A.,6.168398141559484,4
Nunnery R.,Smith P.,6.14223509032869,4
Bar D.,Devilliers J.,6.154664365252658,4
Duong Q.,Teoni P.,5.942907586845548,4
Rettenmaier T.,Young D.,6.194668940463732,4
Davis F.,Felsenthal A.,5.9654546562669415,4
Perez E.,Young E.,6.003163183114352,4
Garnett C.,Lane B.,6.030917582679315,4
Emmrich M.,Siljestrom A.,6.073263054355222,4
Patriquin H.,Stone W.,6.020389871065047,4
Rahachou S.,Whittaker R.,5.853033528042252,4
Brown M.,Vegas M.,6.038378012675594,4
DeHeart R.,Nunnery R.,6.017091549881151,4
Dawidjan R.,Laura C.,5.890011645334935,4
Brown M.,Hewett R.,6.154190790339084,4
Lange E.,Loong T.,6.14038710456962,4
Alshon C.,Stone W.,5.984668376557607,4
Deakin S.,Scarpa A.,6.018030640198266,4
Devilliers J.,Rettenmaier T.,6.102844024290944,4
Loyd M.,Nemoff C.,6.01302770521878,4
Brown M.,Scarpa A.,6.064935625943814,4
Nunnery R.,Patriquin H.,6.0735494066493585,4
Finley R.,Johnson C.,5.824697866377045,4
Newell B.,Tardio G.,6.076866572264318,4
Gabrielsen W.,Lanier S.,5.95237287420862,4
Deakin S.,Roddy E.,5.992033972106285,4
Burrows W.,Garnett C.,5.963634353792188,4
Arnold J.,Johnson H.,6.240035864856477,3
Bar D.,Johnson H.,6.284526158862072,3
Oncins E.,Young D.,6.151178061220931,3
Alvarez J.,Sherry R.,5.926406699118323,3
Goldin G.,Madonia S.,5.989654350941086,3
Gonzalez T.,Vanderwarf N.,5.909437896847264,3
Finley R.,Jensen D.,5.910964080482028,3
Morariu M.,Weinbach D.,5.887074670628196,3
Laura C.,Munro J.,5.955010572351011,3
Koszuta K.,Nemoff C.,5.907309800254426,3
Alda M.,Shekar K.,5.97851297320805,3
Broker J.,Green M.,5.878475115482343,3
Burrows W.,Johnson Y.,6.04624319767972,3
Emmrich M.,Loyd M.,6.142941446551708,3
Khlif N.,Slutsky R.,6.176829917193442,3
Bass S.,Brown M.,5.957746606449582,3
Patriquin H.,Young D.,6.216917279162683,3
Agoglia M.,Garza A.,5.882457624101187,3
Cassidy R.,Garnett C.,6.178580485787607,3
Smith S.,Tardio G.,6.143458265989439,3
Rettenmaier T.,Yates K.,6.066148321064599,3
Hewett R.,Smith S.,6.124683449140498,3
Dobran J.,Shick C.,6.002911356608176,3
Larsen L.,Miller T.,6.011534553093979,3
Cincola J.,Dow G.,5.943465433124528,3
Emmrich M.,Smith P.,5.966794201449189,3
Lane B.,Mcmakin K.,5.903427704204263,3
Andrews J.,Joseph G.,5.993850142424284,3
Tardio G.,Weinbach D.,5.967683598428566,3
Chapman B.,Deakin S.,5.8740239132241125,3
Locklear P.,Oxler J.,5.996199373328131,3
Lanier S.,Whitehead G.,5.987972868939386,3
Alhouni M.,Campbell C.,5.937652895467197,3
Alda M.,Boyer D.,5.9235229184310105,3
Loong T.,Vich J.,6.267344919084814,3
Duong Q.,Taylor C.,6.260977821089466,3
Barrientos M.,Stone W.,5.909128371527452,3
Deakin S.,Patriquin H.,5.960870547504927,3
Hickman B.,Jauschneg E.,5.89788062404644,3
Finley R.,Teoni P.,5.916378719039798,3
Manthou M.,Mediratta N.,5.988074863982549,3
Ignatowich J.,Tellez P.,6.222382839611123,3
Alda M.,Nguyen H.,6.039934659925332,3
Kim E.,Wasson L.,5.915485357580459,3
Khlif N.,Koller A.,6.257716348628987,3
Gonzalez I.,Smosna R.,5.888333733180605,3
Irizarry E.,Sobek W.,5.988302113793792,3
Brautman C.,LaMacchio A.,5.991679003972487,3
Heddings K.,Weinbach D.,6.030598936544723,3
Alhouni M.,Lee S.,6.0932151634974066,3
Cassidy R.,Oncins E.,6.118298366717505,3
Brown M.,Whittaker R.,6.063543422772118,3
Chan M.,Huynh P.,5.8816427310183,3
French B.,Young D.,5.999043344286635,3
Payetta L.,Rahachou S.,5.876269094316332,3
Hewett R.,Ignatowich J.,6.178323168604848,3
Shearer D.,Venkatesan M.,5.831816193730864,3
Daescu A.,Frazier D.,6.233667981123204,3
McNulty J.,Roddy E.,6.046338762855652,3
Violette E.,Wazir A.,5.8936765326880565,3
Bond G.,Jakovljevic I.,5.9784251481034065,3
Angelo S.,Finley R.,6.0087994413141965,3
Tellez P.,Vich J.,6.30599466816016,3
Goldberg J.,Howells W.,5.9169942692114015,3
Koller A.,Taylor C.,6.003855897872789,3
Diamond C.,Whittaker R.,5.9313955250319665,3
Devilliers J.,Newell B.,6.233303234899491,3
Cassidy R.,Neumann A.,5.91000420452853,3
French B.,Smith S.,6.114463031572523,3
Bar D.,Ignatowich J.,6.2966854122036455,3
Davis F.,Livornese R.,5.934632558802595,3
Holder D.,Perez E.,5.932999413451874,3
Ge A.,Loyd M.,5.958353003868039,3
Donkena A.,Lohani A.,5.919676109752948,3
Johnson C.,Marsh J.,5.924574673889135,3
Goldberg J.,Neumann A.,5.938052156080314,3
Newell B.,Taylor Z.,5.936883925158306,3
Jensen D.,Zbinden R.,5.954873250098998,3
Ignatowich J.,Johns B.,6.290316390960467,3
Goldin G.,Haworth C.,6.1631565467277,3
Duong Q.,Khlif N.,6.245628918413444,3
Koszuta K.,Weinbach S.,5.980353218264986,3
Alves S.,Khazaeli M.,5.982746490835293,3
Beasley N.,Mccollin N.,5.923352236170041,3
Tardio G.,Vich J.,5.955715617173514,3
Kusmider J.,Neumann A.,5.943673300651813,3
Forsythe E.,Jenkins J.,5.956746955648783,3
Campbell C.,Hammond B.,5.936966661244991,3
Harvey A.,Reyes R.,5.935438567486169,3
Brown M.,Cassidy R.,6.276847341885314,3
Smith P.,Wilson T.,6.245489235378848,3
Navratil Z.,Smith S.,6.041339507874742,3
Andrews J.,Jakovljevic I.,5.960840327069383,3
Loong T.,Smith S.,5.984843200793669,3
Lane B.,McNulty J.,5.942371060477317,3
Walker A.,Walker J.,5.883554659406981,3
Estareja R.,Zwiren N.,5.975358937041983,3
McGuffin T.,Patriquin H.,6.260769290509046,3
Beasley N.,Whittaker R.,5.984532114511374,3
Cassidy R.,Estareja R.,5.937063192799311,3
Hewett R.,Wright M.,6.225977626232109,3
Hewett R.,Oncins E.,6.114432500693769,3
Bar D.,Patriquin H.,6.354016070711387,3
Staksrud F.,Tardio G.,6.362387027741737,3
Deakin S.,Taylor C.,6.029455981757213,3
Arnold J.,Dawson C.,6.231735808551625,3
Fought T.,Klinger C.,6.2286951681707,3
Legarreta A.,Montoya N.,6.0089649499681705,3
Kusmider J.,Scarpa A.,5.982936390514951,3
Bellamy R.,Fought T.,6.194630046877753,3
Keenum C.,Venkatesan M.,5.9745528051891785,3
Frazier D.,Johnson Y.,6.208996035616538,3
Deakin S.,Smith P.,6.066802630281456,3
Koszuta K.,Marsh J.,5.945996132472156,3
Garnett C.,Rettenmaier T.,6.183386022705752,3
Wilson T.,Wright M.,6.268936212683202,3
Duong Q.,Hovenier B.,6.117354926984739,3
Fu R.,Hovenier B.,5.976717185799856,2
Alshon C.,Ignatowich J.,6.272422409803207,2
Donkena A.,Morrow T.,6.038987497035786,2
Goldberg J.,Ignatowich J.,6.040212787994467,2
Alhouni M.,Scarpa A.,6.071873764964725,2
Arnold J.,Stone W.,6.088702428119781,2
Barrientos M.,Scarpa A.,6.035956641410295,2
Dayan K.,Kojima B.,6.1144654838071695,2
Alda M.,Beasley N.,5.881576691684702,2
Neumann A.,Shick C.,5.862478382072592,2
Blaszkewycz E.,Seward K.,5.916824015385955,2
Guidroz L.,Jansson A.,5.855127665088293,2
Enright M.,Guyer D.,5.90804256399662,2
Black N.,Shearer D.,5.993188892294165,2
Hunter J.,Khlif N.,6.001280132275046,2
Pailet E.,Stone W.,6.112523969955832,2
Fought T.,Taylor C.,6.180329449585354,2
Diamond C.,Dow G.,6.056123430255084,2
Finley R.,Prince J.,5.903018402072698,2
Bond G.,Shearer D.,5.876947965726058,2
Benitez J.,Delgado J.,6.054048749821511,2
Croyle A.,Gonzalez T.,5.904618841324408,2
Whitehead G.,Wilson Q.,5.892793137999821,2
Demeny S.,Stone J.,5.952729923139789,2
Haworth C.,Rahachou S.,5.932238124957978,2
Grollman J.,Navratil Z.,6.117265759834061,2
Eveloff R.,Joseph G.,5.918247308918603,2
Arnold J.,French B.,6.157223754818324,2
Navratil Z.,Newman R.,6.236056739650828,2
Bacalla D.,Campbell C.,5.898397474056601,2
Querrey S.,Taylor Z.,5.880017275506973,2
Auvergne S.,Long B.,6.183749734509693,2
Cincola J.,Deakin S.,6.062525692202125,2
Beasley N.,Russo E.,5.904300172945973,2
Anderson M.,Rosner E.,5.938388104588411,2
Cincola J.,Trinh T.,5.916479617583439,2
Holbrook T.,Key A.,5.86401666104541,2
McGuffin T.,Sock J.,5.903089554124693,2
Jensen D.,Newcombe R.,6.117598086670144,2
Estareja R.,Kawka P.,6.069878765390414,2
Angelo S.,Nemoff C.,5.990173827884197,2
Johnson Y.,Khlif N.,6.072890292947278,2
Duong Q.,Stone W.,6.19341164240668,2
Black N.,Pailet E.,5.998485901318206,2
Jakovljevic I.,Nemoff C.,6.0427576105288905,2
Koller A.,Smith S.,6.114515689925272,2
Castleberry C.,Mullane T.,5.935644458730975,2
Bass S.,Halski L.,5.973246502750656,2
Holder D.,Walker C.,5.835759999796217,2
